date,partner,partner_type,unique_clicks,new_registrations,first_time_depositing,cpa_triggered,cpa_earnings_eur,rev_share_earnings_eur,amount_deposited_eur,net_revenue_eur,country
04/07/2023,BetWise Bookmakers,bookmaker,2400,390,240,100,1800,1100,9800,5300,FR
04/07/2023,StarGlow Casino,casino,1700,260,170,70,1400,1200,7800,4500,IT
04/07/2023,SmartBet Bookmakers,bookmaker,2000,340,200,80,1600,900,9200,5000,ES
05/07/2023,MagicWheel Casino,casino,1300,180,120,50,1000,900,7100,4000,DE
05/07/2023,BetStars Bookmakers,bookmaker,2200,350,220,90,1700,1000,9500,5200,FR
05/07/2023,CrystalLuck Casino,casino,1500,230,160,65,1200,1100,7200,4100,IT
05/07/2023,StarBet Bookmakers,bookmaker,2400,380,240,100,1800,1100,9800,5300,ES
06/07/2023,GoldRush Casino,casino,1600,240,150,60,1300,1000,7000,4100,DE
06/07/2023,MasterOdds Bookmakers,bookmaker,2300,360,220,90,1700,1100,8800,4900,FR
06/07/2023,StarDust Casino,casino,1400,200,130,55,1200,900,7200,4000,IT
06/07/2023,WinWay Bookmakers,bookmaker,2200,330,190,75,1500,1000,9500,5200,ES
07/07/2023,LuckyStrike Casino,casino,1200,160,100,40,900,750,6500,3700,DE
07/07/2023,BetMax Bookmakers,bookmaker,2500,380,240,100,1800,1100,9100,5000,FR
07/07/2023,GoldenEagle Casino,casino,1700,250,170,70,1400,1200,7500,4300,IT
07/07/2023,PremiumBet Bookmakers,bookmaker,2000,320,210,85,1600,900,9200,5000,ES
08/07/2023,GrandJack Casino,casino,1300,180,120,50,1000,900,6800,3900,DE
08/07/2023,GoldOdds Bookmakers,bookmaker,2100,350,220,90,1600,1000,9400,5100,FR
08/07/2023,DiamondStar Casino,casino,1500,230,160,65,1200,1100,7200,4100,IT
08/07/2023,MasterBet Bookmakers,bookmaker,2300,370,230,95,1900,1200,10200,5600,ES
09/07/2023,CasinoLand,casino,1600,220,150,60,1200,950,7600,4300,DE
09/07/2023,SmartGambler Bookmakers,bookmaker,2400,390,240,100,1800,1100,9800,5300,FR
09/07/2023,StarPulse Casino,casino,1700,260,170,70,1400,1200,7800,4500,IT
09/07/2023,WinMaster Bookmakers,bookmaker,2000,340,200,80,1600,900,9200,5000,ES

